date,item,sales,is_weekend,is_holiday,is_festival,promo_active,temperature_celsius,rainfall_mm
2022-01-01,Burger,224,1,0,1,0,21.6,0.3
2022-01-01,Pizza,164,1,0,1,0,21.6,0.3
2022-01-01,Pasta,149,1,0,1,0,21.6,0.3
2022-01-01,Salad,98,1,0,1,0,21.6,0.3
2022-01-02,Burger,112,1,0,0,0,22.2,0.2
2022-01-02,Pizza,101,1,0,0,0,22.2,0.2
2022-01-02,Pasta,71,1,0,0,0,22.2,0.2
2022-01-02,Salad,47,1,0,0,0,22.2,0.2
2022-01-03,Burger,70,0,0,0,0,21.3,0.1
2022-01-03,Pizza,77,0,0,0,0,21.3,0.1
2022-01-03,Pasta,47,0,0,0,0,21.3,0.1
2022-01-03,Salad,35,0,0,0,0,21.3,0.1
2022-01-04,Burger,100,0,0,0,0,20.1,0.1
2022-01-04,Pizza,69,0,0,0,0,20.1,0.1
2022-01-04,Pasta,56,0,0,0,0,20.1,0.1
2022-01-04,Salad,31,0,0,0,0,20.1,0.1
2022-01-05,Burger,88,0,0,0,0,20.3,0.2
2022-01-05,Pizza,66,0,0,0,0,20.3,0.2
2022-01-05,Pasta,61,0,0,0,0,20.3,0.2
2022-01-05,Salad,37,0,0,0,0,20.3,0.2
2022-01-06,Burger,87,0,0,0,0,20.2,0.1
2022-01-06,Pizza,63,0,0,0,0,20.2,0.1
2022-01-06,Pasta,61,0,0,0,0,20.2,0.1
2022-01-06,Salad,31,0,0,0,0,20.2,0.1
2022-01-07,Burger,81,0,0,0,0,21.3,0.2
2022-01-07,Pizza,83,0,0,0,0,21.3,0.2
2022-01-07,Pasta,70,0,0,0,0,21.3,0.2
2022-01-07,Salad,38,0,0,0,0,21.3,0.2
2022-01-08,Burger,121,1,0,0,0,19.1,0.1
2022-01-08,Pizza,114,1,0,0,0,19.1,0.1
2022-01-08,Pasta,85,1,0,0,0,19.1,0.1
2022-01-08,Salad,42,1,0,0,0,19.1,0.1
2022-01-09,Burger,114,1,0,0,0,21.4,0.0
2022-01-09,Pizza,102,1,0,0,0,21.4,0.0
2022-01-09,Pasta,82,1,0,0,0,21.4,0.0
2022-01-09,Salad,54,1,0,0,0,21.4,0.0
2022-01-10,Burger,80,0,0,0,0,21.9,0.0
2022-01-10,Pizza,69,0,0,0,0,21.9,0.0
