date,item,sales,is_weekend,is_holiday,is_festival,promo_active,temperature_celsius,rainfall_mm,day_of_week,day_of_month,month,quarter,week_of_year,day_name,lag_1,lag_7,lag_14,lag_21,lag_28,rolling_mean_7,rolling_std_7,rolling_max_7,rolling_min_7,rolling_mean_14,rolling_std_14,rolling_max_14,rolling_min_14,rolling_mean_30,rolling_std_30,rolling_max_30,rolling_min_30
2022-01-31,Burger,79,0,0,0,0,19.9,0.7,0,31,1,1,5,Monday,128.0,78.0,74.0,80.0,70.0,103.42857142857143,24.676960529051815,136.0,76.0,100.07142857142857,23.721020492103897,145.0,74.0,103.13333333333334,30.052521075419044,224.0,70.0
2022-02-01,Burger,74,0,0,0,0,24.1,0.2,1,1,2,1,5,Tuesday,79.0,84.0,86.0,86.0,100.0,103.57142857142857,24.507530426769804,136.0,76.0,100.42857142857143,23.332757711371844,145.0,76.0,98.3,19.882673101350644,145.0,70.0
2022-02-02,Burger,78,0,0,0,0,22.2,0.8,2,2,2,1,5,Wednesday,74.0,118.0,85.0,91.0,88.0,102.14285714285714,26.079548637636684,136.0,74.0,99.57142857142857,24.11100701631226,145.0,74.0,97.03333333333333,20.1878818778158,145.0,70.0
2022-02-03,Burger,73,0,0,0,0,24.4,0.1,3,3,2,1,5,Thursday,78.0,76.0,88.0,101.0,87.0,96.42857142857143,26.40616811060845,136.0,74.0,99.07142857142857,24.50577415698118,145.0,74.0,97.3,19.868793761002234,145.0,74.0
2022-02-04,Burger,90,0,0,0,0,23.7,0.3,4,4,2,1,5,Friday,73.0,104.0,87.0,99.0,81.0,96.0,26.814175355583853,136.0,73.0,98.0,25.340754648467865,145.0,73.0,96.4,20.34800676504568,145.0,73.0
2022-02-05,Burger,121,1,0,0,0,23.6,0.4,5,5,2,1,5,Saturday,90.0,136.0,145.0,119.0,121.0,94.0,26.63956956609223,136.0,73.0,98.21428571428571,25.253114267744873,145.0,73.0,96.46666666666667,20.322797345690947,145.0,73.0
2022-02-06,Burger,106,1,0,0,0,24.1,0.6,6,6,2,1,5,Sunday,121.0,128.0,112.0,120.0,114.0,91.85714285714286,23.060995724589265,128.0,73.0,96.5,22.497008348120062,136.0,73.0,97.6,20.720804138303393,145.0,73.0
2022-02-07,Burger,83,0,0,0,0,23.5,0.3,0,7,2,1,6,Monday,106.0,79.0,78.0,74.0,80.0,88.71428571428571,18.327704763683933,121.0,73.0,96.07142857142857,22.234637862558497,136.0,73.0,98.43333333333334,20.532032724893362,145.0,73.0
2022-02-08,Burger,74,0,0,0,0,22.6,0.3,1,8,2,1,6,Tuesday,83.0,74.0,84.0,86.0,86.0,89.28571428571429,18.034358742081626,121.0,73.0,96.42857142857143,21.9605040075071,136.0,73.0,97.16666666666667,20.262217826890712,145.0,73.0
2022-02-09,Burger,72,0,0,0,0,23.9,0.3,2,9,2,1,6,Wednesday,74.0,78.0,118.0,85.0,91.0,89.28571428571429,18.034358742081626,121.0,73.0,95.71428571428571,22.550553707780026,136.0,73.0,95.83333333333333,20.431691633061266,145.0,73.0
2022-02-10,Burger,101,0,0,0,1,22.6,0.3,3,10,2,1,6,Thursday,72.0,73.0,76.0,88.0,101.0,88.42857142857143,18.78702693223123,121.0,72.0,92.42857142857143,22.404375553807398,136.0,72.0,95.56666666666666,20.69596551276956,145.0,72.0
2022-02-11,Burger,85,0,0,0,1,24.5,1.1,4,11,2,1,6,Friday,101.0,90.0,104.0,87.0,99.0,92.42857142857143,17.915143899851365,121.0,72.0,94.21428571428571,21.98663430159529,136.0,72.0,96.06666666666666,20.63798528882142,145.0,72.0
2022-02-12,Burger,137,1,0,0,1,22.5,0.0,5,12,2,1,6,Saturday,85.0,121.0,136.0,145.0,119.0,91.71428571428571,18.126539343499335,121.0,72.0,92.85714285714286,21.92244070794594,136.0,72.0,95.86666666666666,20.717697471141605,145.0,72.0
2022-02-13,Burger,152,1,0,0,1,23.1,0.1,6,13,2,1,6,Sunday,137.0,106.0,128.0,112.0,120.0,94.0,22.83272505272496,137.0,72.0,92.92857142857143,22.0749223736392,137.0,72.0,97.06666666666666,22.026525284119465,145.0,72.0
2022-02-14,Burger,105,0,0,0,1,26.0,0.2,0,14,2,1,7,Monday,152.0,83.0,79.0,78.0,74.0,100.57142857142857,31.743015729748304,152.0,72.0,94.64285714285714,25.650332560018775,152.0,72.0,98.83333333333333,24.20470648638306,152.0,72.0
2022-02-15,Burger,64,0,0,0,1,25.7,0.0,1,15,2,1,7,Tuesday,105.0,74.0,74.0,84.0,86.0,103.71428571428571,30.788062003068045,152.0,72.0,96.5,25.37033397797209,152.0,72.0,98.36666666666666,23.9359538154942,152.0,72.0
2022-02-16,Burger,81,0,0,0,1,25.5,0.3,2,16,2,1,7,Wednesday,64.0,72.0,78.0,118.0,85.0,102.28571428571429,32.576649539786864,152.0,64.0,95.78571428571429,26.18037600784387,152.0,64.0,96.5,24.370346593830963,152.0,64.0
2022-02-17,Burger,68,0,0,0,0,26.3,0.6,3,17,2,1,7,Thursday,81.0,101.0,73.0,76.0,88.0,103.57142857142857,31.336119430337597,152.0,64.0,96.0,26.035478752005943,152.0,64.0,96.73333333333333,24.180261732894134,152.0,64.0
